image,object_name,class
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/walk/lena_walk2_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/walk/shahar_walk_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/walk/daria_walk_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/walk/ira_walk_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/walk/ido_walk_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/walk/eli_walk_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/walk/lena_walk1_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/walk/denis_walk_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/walk/moshe_walk_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave1/ira_wave1_diffs_full.json,wave1,8
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave1/daria_wave1_diffs_full.json,wave1,8
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave1/shahar_wave1_diffs_full.json,wave1,8
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave1/moshe_wave1_diffs_full.json,wave1,8
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave1/eli_wave1_diffs_full.json,wave1,8
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave1/denis_wave1_diffs_full.json,wave1,8
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave1/ido_wave1_diffs_full.json,wave1,8
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave1/lena_wave1_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave1/lyova_wave1_diffs_full.json,wave1,8
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave2/lena_wave2_diffs_full.json,wave2,9
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave2/ira_wave2_diffs_full.json,wave2,9
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave2/shahar_wave2_diffs_full.json,wave2,9
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave2/lyova_wave2_diffs_full.json,wave2,9
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave2/ido_wave2_diffs_full.json,wave2,9
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave2/moshe_wave2_diffs_full.json,wave2,9
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave2/eli_wave2_diffs_full.json,wave2,9
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave2/denis_wave2_diffs_full.json,wave2,9
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/wave2/daria_wave2_diffs_full.json,wave2,9
