object_name,image,class
jump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/lyova_jump_diffs_full.json,2
jump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/denis_jump_diffs_full.json,2
jump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/daria_jump_diffs_full.json,2
pjump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/moshe_pjump_diffs_full.json,3
pjump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/lyova_pjump_diffs_full.json,3
pjump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/ido_pjump_diffs_full.json,3
pjump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/shahar_pjump_diffs_full.json,3
pjump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/ira_pjump_diffs_full.json,3
pjump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/lena_pjump_diffs_full.json,3
pjump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/denis_pjump_diffs_full.json,3
pjump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/eli_pjump_diffs_full.json,3
pjump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/daria_pjump_diffs_full.json,3
run,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/ira_run_diffs_full.json,4
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/ido_run_diffs_full.json,0
run,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/eli_run_diffs_full.json,4
run,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/lena_run2_diffs_full.json,4
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/shahar_run_diffs_full.json,7
run,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/lena_run1_diffs_full.json,4
run,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/denis_run_diffs_full.json,4
run,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/daria_run_diffs_full.json,4
skip,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/moshe_run_diffs_full.json,6
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/lyova_run_diffs_full.json,7
side,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/shahar_side_diffs_full.json,5
side,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/daria_side_diffs_full.json,5
side,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/lena_side_diffs_full.json,5
side,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/ido_side_diffs_full.json,5
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/moshe_side_diffs_full.json,0
side,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/eli_side_diffs_full.json,5
side,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/denis_side_diffs_full.json,5
side,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/lyova_side_diffs_full.json,5
side,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/ira_side_diffs_full.json,5
run,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/skip/shahar_skip_diffs_full.json,4
skip,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/skip/lena_skip1_diffs_full.json,6
skip,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/skip/ira_skip_diffs_full.json,6
skip,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/skip/eli_skip_diffs_full.json,6
skip,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/skip/denis_skip_diffs_full.json,6
run,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/skip/moshe_skip_diffs_full.json,4
skip,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/skip/daria_skip_diffs_full.json,6
run,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/skip/ido_skip_diffs_full.json,4
run,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/skip/lyova_skip_diffs_full.json,4
jump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/skip/lena_skip2_diffs_full.json,2
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/walk/lyova_walk_diffs_full.json,7
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/walk/lena_walk2_diffs_full.json,7
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/walk/shahar_walk_diffs_full.json,7
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/walk/daria_walk_diffs_full.json,7
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/walk/ira_walk_diffs_full.json,7
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/walk/ido_walk_diffs_full.json,7
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/walk/eli_walk_diffs_full.json,7
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/walk/lena_walk1_diffs_full.json,7
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/walk/denis_walk_diffs_full.json,7
walk,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/walk/moshe_walk_diffs_full.json,7
wave1,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave1/ira_wave1_diffs_full.json,8
wave1,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave1/daria_wave1_diffs_full.json,8
wave1,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave1/shahar_wave1_diffs_full.json,8
wave1,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave1/moshe_wave1_diffs_full.json,8
wave1,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave1/eli_wave1_diffs_full.json,8
wave1,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave1/denis_wave1_diffs_full.json,8
wave1,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave1/ido_wave1_diffs_full.json,8
pjump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave1/lena_wave1_diffs_full.json,3
wave1,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave1/lyova_wave1_diffs_full.json,8
wave2,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave2/lena_wave2_diffs_full.json,9
wave2,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave2/ira_wave2_diffs_full.json,9
wave2,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave2/shahar_wave2_diffs_full.json,9
wave2,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave2/lyova_wave2_diffs_full.json,9
wave2,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave2/ido_wave2_diffs_full.json,9
wave2,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave2/moshe_wave2_diffs_full.json,9
wave2,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave2/eli_wave2_diffs_full.json,9
wave2,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave2/denis_wave2_diffs_full.json,9
jack,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/wave2/daria_wave2_diffs_full.json,1
