image,class,object_name
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/side/ido_side_trajectories_features.json,5,side
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/side/ira_side_trajectories_features.json,5,side
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/side/daria_side_trajectories_features.json,5,side
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/side/shahar_side_trajectories_features.json,5,side
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/side/moshe_side_trajectories_features.json,5,side
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/side/denis_side_trajectories_features.json,5,side
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/side/lena_side_trajectories_features.json,5,side
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/skip/denis_skip_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/skip/lyova_skip_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/skip/shahar_skip_trajectories_features.json,2,jump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/skip/lena_skip2_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/skip/moshe_skip_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/skip/eli_skip_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/skip/lena_skip1_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/skip/daria_skip_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/skip/ira_skip_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/skip/ido_skip_trajectories_features.json,5,side
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/walk/ido_walk_trajectories_features.json,7,walk
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/walk/shahar_walk_trajectories_features.json,7,walk
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/walk/lena_walk2_trajectories_features.json,7,walk
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/walk/ira_walk_trajectories_features.json,7,walk
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/walk/lyova_walk_trajectories_features.json,7,walk
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/walk/lena_walk1_trajectories_features.json,7,walk
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/walk/eli_walk_trajectories_features.json,7,walk
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/walk/moshe_walk_trajectories_features.json,7,walk
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/walk/denis_walk_trajectories_features.json,7,walk
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/walk/daria_walk_trajectories_features.json,7,walk
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave1/lena_wave1_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave1/denis_wave1_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave1/ido_wave1_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave1/ira_wave1_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave1/daria_wave1_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave1/lyova_wave1_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave1/eli_wave1_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave1/moshe_wave1_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave1/shahar_wave1_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave2/moshe_wave2_trajectories_features.json,9,wave2
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave2/ido_wave2_trajectories_features.json,9,wave2
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave2/shahar_wave2_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave2/ira_wave2_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave2/eli_wave2_trajectories_features.json,9,wave2
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave2/lena_wave2_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave2/daria_wave2_trajectories_features.json,8,wave1
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave2/denis_wave2_trajectories_features.json,9,wave2
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/wave2/lyova_wave2_trajectories_features.json,9,wave2
